,"Variable:/:A:Value"
45.6000000000004,592.76
45.7000000000004,591.6
45.8000000000004,590.32
45.9000000000004,589.34
46.0000000000004,588.12
46.1000000000004,587.36
46.2000000000004,585.92
46.3000000000004,585.1
46.4000000000004,583.9
46.5000000000004,582.94
46.6000000000004,582
46.7000000000004,580.86
46.8000000000004,579.92
46.9000000000004,578.68
47.0000000000004,577.6
47.1000000000004,576.62
47.2000000000004,575.72
47.3000000000004,574.5
47.4000000000004,573.56
47.5000000000004,572.64
47.6000000000004,571.56
47.7000000000004,570.18
47.8000000000004,569.22
47.9000000000004,568.06
48.0000000000004,567.06
48.1000000000004,566.12
48.2000000000004,565.08
48.3000000000004,564.06
48.4000000000004,563.3
48.5000000000004,562.32
48.6000000000004,561.34
48.7000000000004,560.6
48.8000000000004,559.44
48.9000000000004,558.44
49.0000000000004,557.7
49.1000000000004,556.52
49.2000000000004,555.6
49.3000000000004,554.52
49.4000000000004,553.58
49.5000000000004,552.46
49.6000000000004,551.32
49.7000000000004,550.52
49.8000000000004,549.62
49.9000000000004,548.72
50.0000000000004,547.86
50.1000000000004,546.92
50.2000000000004,546.04
50.3000000000004,545.24
50.4000000000004,544.38
50.5000000000004,543.36
50.6000000000004,542.2
50.7000000000005,541.34
50.8000000000005,540.3
50.9000000000005,539.36
51.0000000000005,538.66
51.1000000000005,537.68
51.2000000000005,536.82
51.3000000000005,535.96
51.4000000000005,535.34
51.5000000000005,534.42
51.6000000000005,533.54
51.7000000000005,532.64
51.8000000000005,531.7
51.9000000000005,530.76
52.0000000000005,529.76
52.1000000000005,528.68
52.2000000000005,527.8
52.3000000000005,526.96
52.4000000000005,526.24
52.5000000000005,525.3
52.6000000000005,524.62
52.7000000000005,523.7
52.8000000000005,522.98
52.9000000000005,522.14
53.0000000000005,521.5
53.1000000000005,520.86
53.2000000000005,520.12
53.3000000000005,519.42
53.4000000000005,518.5
53.5000000000005,517.76
53.6000000000005,516.94
53.7000000000005,515.98
53.8000000000005,515.08
53.9000000000005,514.06
54.0000000000005,513.4
54.1000000000005,512.6
54.2000000000005,511.98
54.3000000000005,510.94
54.4000000000005,510.08
54.5000000000005,509.44
54.6000000000005,508.64
54.7000000000005,507.74
54.8000000000005,506.92
54.9000000000005,506.26
55.0000000000005,505.48
55.1000000000005,504.64
55.2000000000005,503.96
55.3000000000005,503.04
55.4000000000005,502.26
55.5000000000005,501.52
55.6000000000005,500.7
55.7000000000005,499.88
55.8000000000005,499.12
55.9000000000005,498.34
56.0000000000005,497.64
56.1000000000005,496.9
56.2000000000005,496.1
56.3000000000005,495.24
